["port 1",""]
["port 2",""]
("port 1","mode 1",1,"port 1",1,"transmission")
(300, 3)
1.7634850470588234e+14 3.1821120086001592e-03 8.6723635017002965e-01
1.7647488920519378e+14 3.2556705100734895e-03 8.7724944319053710e-01
1.7660127370450522e+14 3.3348837174189331e-03 8.9003064647564145e-01
1.7672765820381662e+14 3.4179187124240718e-03 9.0582766116681390e-01
1.7685404270312806e+14 3.5027017978734539e-03 9.2472737647480141e-01
1.7698042720243950e+14 3.5870352959645074e-03 9.4667103475546621e-01
1.7710681170175094e+14 3.6687077613695757e-03 9.7147668012637389e-01
1.7723319620106234e+14 3.7455922721326166e-03 9.9886397295490092e-01
1.7735958070037378e+14 3.8157305702845126e-03 1.0284778502330361e+00
1.7748596519968522e+14 3.8774029593419304e-03 1.0599090339365682e+00
1.7761234969899666e+14 3.9291850368987783e-03 1.0927106595202591e+00
1.7773873419830806e+14 3.9699927612950213e-03 1.1264111887350003e+00
1.7786511869761950e+14 3.9991172745379895e-03 1.1605243166808457e+00
1.7799150319693094e+14 4.0162505331143919e-03 1.1945568783098954e+00
1.7811788769624238e+14 4.0215022635119065e-03 1.2280159034985916e+00
1.7824427219555381e+14 4.0154081247391841e-03 1.2604160335442161e+00
1.7837065669486522e+14 3.9989282506985267e-03 1.2912885274187020e+00
1.7849704119417666e+14 3.9734345764648408e-03 1.3201930416194692e+00
1.7862342569348809e+14 3.9406845671882094e-03 1.3467332060585773e+00
1.7874981019279953e+14 3.9027782772956547e-03 1.3705766404355335e+00
1.7887619469211094e+14 3.8620952924253000e-03 1.3914793350744850e+00
1.7900257919142238e+14 3.8212084043266737e-03 1.4093131512866077e+00
1.7912896369073381e+14 3.7827723031810339e-03 1.4240935830167636e+00
1.7925534819004525e+14 3.7493885737008895e-03 1.4360031038896699e+00
1.7938173268935666e+14 3.7234529683887545e-03 1.4454039798849940e+00
1.7950811718866809e+14 3.7069967368783142e-03 1.4528342258015852e+00
1.7963450168797953e+14 3.7015392205617084e-03 1.4589822528416212e+00
1.7976088618729097e+14 3.7079717733677566e-03 1.4646398977001120e+00
1.7988727068660241e+14 3.7264913122608207e-03 1.4706390021239371e+00
1.8001365518591381e+14 3.7565948279840908e-03 1.4777815322979819e+00
1.8014003968522525e+14 3.7971356019241187e-03 1.4867752703036559e+00
1.8026642418453669e+14 3.8464310308364666e-03 1.4981854036779125e+00
1.8039280868384812e+14 3.9024043341029345e-03 1.5124077000360985e+00
1.8051919318315953e+14 3.9627399035546147e-03 1.5296634458031677e+00
1.8064557768247097e+14 4.0250343259926038e-03 1.5500120061943718e+00
1.8077196218178241e+14 4.0869302671802535e-03 1.5733747793081709e+00
1.8089834668109384e+14 4.1462262262294183e-03 1.5995643551580194e+00
1.8102473118040525e+14 4.2009600468909209e-03 1.6283140505492828e+00
1.8115111567971669e+14 4.2494673253276492e-03 1.6593047863497261e+00
1.8127750017902812e+14 4.2904175275514473e-03 1.6921878910894921e+00
1.8140388467833956e+14 4.3228311304202771e-03 1.7266035806276552e+00
1.8153026917765100e+14 4.3460809032826453e-03 1.7621955519942374e+00
1.8165665367696241e+14 4.3598799412120255e-03 1.7986224351949855e+00
1.8178303817627384e+14 4.3642585055945343e-03 1.8355668926297339e+00
1.8190942267558528e+14 4.3595312724441452e-03 1.8727430465616095e+00
1.8203580717489672e+14 4.3462563060383047e-03 1.9099027242058477e+00
1.8216219167420812e+14 4.3251869923329979e-03 1.9468407841165014e+00
1.8228857617351956e+14 4.2972182819466459e-03 1.9833995564270122e+00
1.8241496067283100e+14 4.2633288861828366e-03 2.0194722168853270e+00
1.8254134517214244e+14 4.2245214975269244e-03 2.0550047445541826e+00
1.8266772967145384e+14 4.1817635991049859e-03 2.0899960128182560e+00
1.8279411417076528e+14 4.1359318867028091e-03 2.1244955602367575e+00
1.8292049867007672e+14 4.0877636310776219e-03 2.1585987010967980e+00
1.8304688316938816e+14 4.0378183322842195e-03 2.1924388661749941e+00
1.8317326766869959e+14 3.9864526630586381e-03 2.2261773857952991e+00
1.8329965216801100e+14 3.9338109266725090e-03 2.2599912847800794e+00
1.8342603666732244e+14 3.8798321146662177e-03 2.2940599785699129e+00
1.8355242116663388e+14 3.8242732779029329e-03 2.3285519692144145e+00
1.8367880566594531e+14 3.7667475215336656e-03 2.3636126917592675e+00
1.8380519016525672e+14 3.7067737123460611e-03 2.3993545505951848e+00
1.8393157466456816e+14 3.6438341153069583e-03 2.4358499513474774e+00
1.8405795916387959e+14 3.5774357380039734e-03 2.4731278479596681e+00
1.8418434366319103e+14 3.5071711423074036e-03 2.5111740660834028e+00
1.8431072816250244e+14 3.4327747874412723e-03 2.5499354966953875e+00
1.8443711266181388e+14 3.3541714600789740e-03 2.5893282109433740e+00
1.8456349716112531e+14 3.2715138907584143e-03 2.6292496243728438e+00
1.8468988166043675e+14 3.1852071550487575e-03 2.6695949954887115e+00
1.8481626615974819e+14 3.0959178828218344e-03 2.7102787057524145e+00
1.8494265065905959e+14 3.0045667030052041e-03 2.7512608283930291e+00
1.8506903515837103e+14 2.9123028840900280e-03 2.7925793132354824e+00
1.8519541965768247e+14 2.8204610414227986e-03 2.8343875371274216e+00
1.8532180415699391e+14 2.7305013990384886e-03 2.8769958588235065e+00
1.8544818865630531e+14 2.6439377516714667e-03 2.9209141409248280e+00
1.8557457315561675e+14 2.5622611562792648e-03 2.9668901441365358e+00
1.8570095765492819e+14 2.4868722804970412e-03 3.0159367446542165e+00
1.8582734215423962e+14 2.4190403781628989e-03 3.0693397802205147e+00
1.8595372665355103e+14 2.3599104131562794e-03 3.1286385622168926e+00
1.8608011115286247e+14 2.3105797373883692e-03 3.1955725495999263e+00
1.8620649565217391e+14 2.2722597917484160e-03 3.2719891356554660e+00
1.8633288015148534e+14 2.2465249324539246e-03 3.3597072399369896e+00
1.8645926465079675e+14 2.2356287383585708e-03 3.4603293083392184e+00
1.8658564915010819e+14 2.2428378550836321e-03 3.5749949496708293e+00
1.8671203364941962e+14 2.2726973153247071e-03 3.7040836716322891e+00
1.8683841814873106e+14 2.3311112007949383e-03 3.8469143321799564e+00
1.8696480264804250e+14 2.4251262000442642e-03 4.0015509524383948e+00
